MLS,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Realtor
C4259262,Royal Oak, 62  Royal Birch GD NW,A,"$445,000 ",,130.993,2 Storey,8,4,2,1,Yes,2002,South,11.4,1,Fully Finished,2,Double Garage Attached,Seller,Negotiable,2,,Wood Frame,"Carpet, Hardwood, Linoleum","1,410",Zeenat Taghvai
C4258259,McKenzie Lake, 214  MT CASCADE PL SE,A,"$763,800 ",,231.514,2 Storey,11,4,3,1,Yes,1993,West,14.3,2,Fully Finished,2,"Double Garage Attached, Insulated",Seller,NEGOTIABLE,0,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,492",Deryck E Ostashek
C4259284,Woodhaven, 127  Woodbend WY,A,"$404,900 ",,135.638,Bungalow,7,3,4,0,Yes,1980,South,16.77,1,Fully Finished,2,Double Garage Attached,Seller,Negotiable,0,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,460",Sheryl Lauinger
C4259266,None,   Range Road 264,A,"$559,900 ",,158.678,1 & Half St,6,3,2,1,Yes,2018,East,152.4,1,Unfinished,2,"Double Garage Detached, 220 Volt Wiring, Insulated, Heated, Parking Pad Gravel, RV Parking",Seller,negotiable,0,,Wood Frame,"Carpet, Ceramic Tile, Vinyl Plank","1,708",Chad Gothard
C4258952,Willow Park, 212  99 AV SE,A,"$449,900 ",,95.504,Bungalow,5,5,0,0,No,1966,South,26,0,Fully Finished,2,"Double Garage Detached, Parking Pad Gravel, Rear Drive Access, RV Parking",Tenant,Negotiable,0,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,028",Kim Fleury
C4259270,Albert Park/Radisson Heights, 1116  34 ST SE,A,"$249,000 ",,97.455,Bi-Level,6,3,2,0,No,1952,West,15.2,,Unfinished,,Front Drive Access,Vacant,negotiable,0,,Wood Frame,"Carpet, Linoleum","1,049",Craig Durkovich
C4258942,Cranston, 242  Cranford WY SE,A,"$349,900 ",,103.587,2 Storey,6,3,1,1,No,2013,South,8.11,,Unfinished,,"2 Outdoor Stalls, Parking Pad Gravel",Vacant,Negotiable,0,,Wood Frame,"Ceramic Tile, Hardwood","1,115",Ming Hui
C4259263,Big Springs, 329  BIG SPRINGS CO SE,A,"$309,900 ",,109.44,Bungalow,5,5,3,0,Yes,1981,East,7.31,,Fully Finished,,"Front Drive Access, Parking Pad Cement or Paved",Tenant Rights,NEG.,0,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,178",Brenda Jackson
C4259258,Copperfield, 42  COPPERSTONE CL SE,A,"$524,500 ",,239.597,2 Storey,10,4,2,1,Yes,2010,Southeast,11.89,,Unfinished,2,"Double Garage Attached, Over Sized",Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,579",Ryan MacDonald
C4258787,Aspen Woods, 29  Aspen Vista RD SW,A,"$1,099,900 ",,274.993,2 Storey,10,4,2,1,Yes,2015,North,14.02,1,Unfinished,2,Double Garage Attached,Tenant,negotiable,4,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,960",Huaping Gao
C4258280,King's Heights, 1088  KINGSTON CR SE,A,"$419,900 ",,184.32,2 Storey,9,3,2,1,Yes,2009,East,10.54,1,Unfinished,2,Double Garage Attached,Vacant,negotiable,3,,Wood Frame,"Carpet, Hardwood, Linoleum","1,984",Tammy R Forrest
C4259248,Air Ranch, 26  RANCHERS MR,A,"$649,900 ",,237.367,2 Storey,9,3,2,1,Yes,2014,South,,,Unfinished,3,"Triple Garage Attached, Insulated, Over Sized",Seller,Negotiable,1,Z-name Not Listed,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,555",Shauna Yawney
C4259246,Forest Lawn, 1101  40 ST SE,A,"$389,900 ",,85.006,Bungalow,6,4,2,0,No,1959,East,15.85,1,Fully Finished,4,"Double Garage Detached, Triple Garage Detached, Quad or More Detached, Heated, Over Sized, RV Parking, Shop, Tandem",Vacant,negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood",915,Cindy Bauer
C4259220,Crescent Heights, 227  7 AV NE,A,"$739,900 ",,84.263,Bungalow,5,4,2,0,No,1930,North,11.36,,Fully Finished,2,"Double Garage Detached, Over Sized",Owner,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",907,John Bitonti
C4258835,Auburn Bay, 71  AUBURN GLEN LN SE,A,"$548,888 ",,209.032,2 Storey,10,4,3,1,Yes,2009,East,11.58,1,Fully Finished,2,Double Garage Attached,Owner,TBA,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,250",Catherine Larvin
C4258548,Lincoln Park, 84  Mike Ralph WY SW,A,"$1,100,000 ",,270.998,2 Storey,10,5,4,1,Yes,2006,Northwest,10.68,1,Fully Finished,2,Double Garage Attached,Seller,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,917",Sylvia Solis-Marasco
C4258918,Emerson Lake Estates, 1001  11 ST SE,A,"$319,900 ",,98.942,Bi-Level,5,4,2,0,No,1989,East,18.47,,Fully Finished,3,Triple Garage Detached,Seller,negotiable,1,,Wood Frame,"Carpet, Laminate Flooring, Vinyl Plank","1,065",Jim A Ross
C4258311,Springbank Hill, 234  FORTRESS BA SW,A,"$2,195,000 ",,437.573,2 Storey,9,5,4,1,Yes,2018,Northwest,6.94,2,Fully Finished,3,"Triple Garage Attached, Front Drive Access, Heated, Tandem",Vacant,negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,710",Ross Pavl
C4259242,Woodbine, 315  WOOD VALLEY BA SW,A,"$499,800 ",,167.225,2 Storey,9,4,2,1,Yes,1987,South,15.7,1,Fully Finished,2,Double Garage Attached,Seller,NEG,1,,Wood Frame,"Carpet, Hardwood, Laminate Flooring","1,800",Chris Jamieson
C4258524,Mount Pleasant, 466  19 AV NW,A,"$789,900 ",,167.504,2 Storey,7,4,3,1,Yes,2012,South,7.61,,Fully Finished,2,"Double Garage Detached, Heated",Seller,Negotiable,1,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring","1,803",Shawn Riley
C4259243,Varsity, 4228  40 ST NW,A,"$489,900 ",,110.09,Bungalow,5,4,3,0,Yes,1965,West,16.45,1,Fully Finished,2,Single Carport,Vacant,Negotiable,1,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring, Linoleum","1,185",Jenny Jin
C4259007,Erin Woods, 27  ERIN GROVE CO SE,A,"$339,000 ",,106.374,Bi-Level,6,5,3,0,Yes,1988,West,13.1,,"Fully Finished, Suite",,Stall,Vacant,Negotiable,2,,Wood Frame,"Ceramic Tile, Laminate Flooring, Linoleum","1,145",Tatiana Merchina
C4258702,None, 620  Gib Bell CL,A,"$329,900 ",,100.428,Bungalow,4,3,2,1,Yes,2002,Northeast,19.56,2,Fully Finished,2,"Double Garage Attached, Heated, Over Sized, Parking Pad Gravel, RV Parking",Seller,Negotiable,2,,Wood Frame,"Carpet, Linoleum, Vinyl Plank","1,081",Tanya Resch
C4259100,Crystal Shores, 149  Crystal Shores MR,A,"$465,000 ",,184.505,2 Storey,9,4,3,1,Yes,2006,West,17,1,Fully Finished,2,"Double Garage Attached, Heated, Over Sized",Seller,Negotiable,1,,Wood Frame,"Carpet, Non-Ceramic Tile, Slate, Vinyl Plank","1,986",Sam Louise Clement
C4259237,Panorama Hills, 47  PANTEGO AV NW,A,"$529,900 ",,217.207,2 Storey,10,3,2,1,Yes,2008,North,10.2,2,Unfinished,2,Double Garage Attached,Owner,negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Linoleum","2,338",Yi Janus Tung
C4259225,Canyon Meadows, 503  CANTERBURY DR SW,A,"$589,900 ",,116.222,Bungalow,6,5,3,0,Yes,1970,East,15.53,,Fully Finished,2,Double Garage Detached,Vacant,neg,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,251",Jordan Helwerda
C4259219,Ridgegate, 68  RUNDLE PL SW,A,"$325,000 ",,97.641,Bungalow,6,3,2,0,No,1982,East,15.49,,Fully Finished,,"Parking Pad Cement or Paved, RV Parking, Tandem",Tenant Rights,Negotiable,1,,Wood Frame,"Carpet, Hardwood, Laminate Flooring","1,051",Crystal Adamo
C4259231,None, 320  CRAWFORD CL,A,"$604,900 ",,207.36,2 Storey,9,3,3,0,Yes,2006,West,13.26,1,Unfinished,2,"Double Garage Attached, Insulated",Seller,Negotiable,5,Z-name Not Listed,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,232",Darin Ruff
C4259202,Drake Landing, 113  DRAKE LANDING MT,A,"$565,000 ",,238.018,2 Storey,10,5,3,1,No,2009,East,36.65,1,Fully Finished,2,"Double Garage Detached, Heated, Over Sized, Parking Pad Cement or Paved, RV Parking",Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","2,562",Yvette Carman
C4258488,Upper Mount Royal, 1311  CABOT ST SW,A,"$3,388,000 ",,525.924,4 Lvl Split,9,3,5,2,Yes,1950,North,30.51,3,Fully Finished,3,Triple Garage Attached,Seller,Negotiable,1,,Wood Frame,"Hardwood, Marble","5,661",Gizella Davis
C4259080,Thorburn, 213  THORNLEIGH CL SE,A,"$594,000 ",,132.201,Bungalow,5,4,2,1,Yes,2003,South,12.75,1,Fully Finished,4,"Double Garage Attached, Double Garage Detached, Heated",Undisclosed,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Cork Flooring, Hardwood","1,423",Dione J Irwin
C4259102,None, 34324  RR 11A,A,"$659,000 ",,74.694,Bungalow,5,4,1,0,No,1950,East,,,Fully Finished,1,Single Garage Detached,Seller,Negotiable,2,,Wood Frame,"Ceramic Tile, Softwood",804,Barry McCurdy
C4258913,Cimarron Estates, 7  CIMARRON ESTATES WY,A,"$939,000 ",,243.313,1 & Half St,9,5,3,1,No,2007,East,29.01,,Fully Finished,3,"Triple Garage Attached, Insulated, Front Drive Access, Heated, Parking Pad Cement or Paved, RV Parking",Seller,,3,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,619",Floyd B Rogers
C4249194,Acadia, 9739  Academy DR SE,A,"$669,900 ",,98.199,Bi-Level,4,4,3,0,Yes,1963,South,15.2,2,Fully Finished,2,"Double Garage Detached, Insulated, Parking Pad Gravel, Rear Drive Access, RV Parking",Vacant,negotiable,1,,Wood Frame,"Ceramic Tile, Laminate Flooring","1,057",Nick Lima
C4259010,Taradale, 77  TARALAKE MR NE,A,"$479,900 ",,162.209,2 & Half St,9,5,3,1,Yes,2011,East,9.74,,Fully Finished,2,Double Garage Attached,Owner,Court Set,3,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,746",David P Brown
C4258956,Cochrane Heights, 142  CHINOOK DR,A,"$674,888 ",,156.356,Bungalow,7,4,3,0,Yes,1974,East,19.81,2,Fully Finished,2,Double Garage Attached,Seller,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,683",Darren Cameron
C4259224,Taradale, 163  TARAVISTA DR NE,A,"$374,999 ",,98.57,Bi-Level,6,5,3,0,No,2003,West,9.7,,"Fully Finished, Suite",,Parking Pad Gravel,Tenant,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring, Linoleum","1,061",Farhan A Bajwa
C4258228,Sunset Ridge, 11  SUNSET CO,A,"$493,500 ",,198.72,2 & Half St,9,3,3,1,Yes,2010,East,11.01,,Fully Finished,2,Double Garage Attached,Vacant,negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,139",Gabriel Steier
C4259218,Monterra, 166  MONTENARO CR,A,"$998,000 ",,287.535,2 Storey,10,5,3,1,Yes,2008,Southwest,,2,Fully Finished,3,"Triple Garage Attached, Insulated, Heated, Over Sized",Seller,immediate,1,Z-name Not Listed,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,095",Denise Staples
C4259217,Willow Park, 508  WILLOW PARK DR SE,A,"$649,900 ",,116.5,Bungalow,7,4,3,0,Yes,1965,Southeast,18.28,2,Fully Finished,2,"Double Garage Detached, Parking Pad Cement or Paved, Parking Pad Gravel, Rear Drive Access, RV Parking",Owner,negotiable,1,,Wood Frame,"Ceramic Tile, Laminate Flooring, Wall to Wall Carpet","1,254",Sandy Seifert
C4259192,Kingsland, 8216  5 ST SW,A,"$419,900 ",,94.297,Bungalow,6,5,2,0,No,1958,Northwest,16.75,,Fully Finished,1,"Single Garage Detached, Heated",Seller,negotiable,1,,Wood Frame,"Laminate Flooring, Linoleum","1,015",Karissa Freund
C4258613,Hillcrest, 105  HILLCREST DR SW,A,"$649,900 ",,264.402,2 Storey,10,3,3,1,Yes,2013,East,9.1,,Unfinished,2,Double Garage Attached,Owner,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,846",Patrick Okosun
C4259214,Douglasdale/Glen, 40  DOUGLAS WOODS GV SE,A,"$548,500 ",,210.054,2 Sty Split,8,4,3,1,Yes,1992,North,14.75,,Fully Finished,2,"Double Garage Attached, Heated",Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,261",Donald Wong
C4258712,Country Hills, 44  COUNTRY HILLS MR NW,A,"$342,500 ",,120.774,2 Storey,8,3,1,1,No,1999,Southeast,9.75,,Unfinished,,"Parking Pad Gravel, Rear Drive Access",Seller,Negotiable,1,,Wood Frame,"Ceramic Tile, Laminate Flooring","1,300",Curtis M Kramer
C4259216,Cougar Creek, 156  Cougar Point RD,A,"$845,000 ",,118.916,Bi-Level,7,5,3,0,Yes,1991,Southwest,14.94,1,Fully Finished,2,"Double Garage Attached, 2 Outdoor Stalls",Seller,$1.00 ***,2,,Wood Frame,"Hardwood, Laminate Flooring, Slate","1,280",Ravi Duhra
C4259060,Inglewood, 2305  16 ST SE,A,"$415,000 ",,72.557,Bungalow,6,1,1,0,No,1910,East,11.4,,Partly Finished,,Front and Rear Drive Access,Vacant,Negotiable,2,,Wood Frame,See Remarks,781,Tod Hall
C4258678,Westmere, 155  OAKMERE GR,A,"$549,900 ",,240.433,2 Storey,10,5,3,1,Yes,2002,East,14,1,Fully Finished,2,Double Garage Attached,Seller,Immediate,1,,Wood Frame,"Carpet, Linoleum, Non-Ceramic Tile","2,588",Paul Thind
C4259213,Cougar Ridge, 72  Cougar Ridge GR SW,A,"$848,000 ",,204.665,2 Storey,8,4,3,1,Yes,2012,North,11.38,1,"Fully Finished, Suite",2,"Double Garage Attached, Insulated, Front Drive Access",Owner,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,203",Ravi Duhra
C4258760,None, 144171  179 AV W,A,"$985,000 ",,241.827,Bungalow,8,6,3,0,Yes,2005,North,,2,Fully Finished,6,"Double Garage Attached, Quad or More Detached, Front Drive Access, RV Parking, Shop",Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,603",Rebecca Chaulk
C4259073,Tuscany, 114  TUSSLEWOOD TC NW,A,"$649,900 ",,153.197,Bungalow,6,5,2,1,Yes,2004,Northeast,17.8,2,Fully Finished,2,Double Garage Attached,Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,649",Jared Chamberlain
C4259208,Royal Oak, 125  ROYAL OAK BA NW,A,"$649,900 ",,241.269,2 Storey,7,4,3,1,Yes,2007,West,7.1,2,Fully Finished,25,Double Garage Attached,Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,597",Josh Hamilton
C4258811,Bridlewood, 54  BRIDLEPOST GR SW,A,"$484,995 ",,161.465,2 Storey,6,3,3,1,Yes,2001,West,10.99,2,Fully Finished,2,"Single Garage Detached, Double Garage Attached, Shop",Seller,negotiable,1,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","1,738",Sarah Arcuri
C4259066,Elbow Park, 3640  11 ST SW,A,"$1,025,000 ",,125.977,Bungalow,6,5,2,0,No,1952,West,15.23,,Fully Finished,2,Single Garage Attached,Seller,neg,1,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,356",John E Child
C4257873,None, 1301  Twp Rd 300,A,"$475,000 ",,84.263,Bungalow,5,2,2,0,No,1962,East,,,Fully Finished,1,"Single Garage Detached, Over Sized, RV Parking",Seller,negotiable,1,,Wood Frame,"Carpet, Hardwood, Laminate Flooring, Linoleum",907,Trudy Drever
C4259205,New Brighton, 164  BRIGHTONSTONE BA SE,A,"$430,000 ",,167.969,2 Storey,8,4,3,1,Yes,2005,South,11.59,,Partly Finished,2,Double Garage Attached,Seller,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile","1,808",Marc Stokes
C4259191,None, 404  Railway AV,A,"$299,900 ",,85.192,Bungalow,4,3,1,0,No,1952,West,37,1,Partly Finished,2,"Double Garage Detached, 220 Volt Wiring, Heated, Over Sized",Seller,Negotiable,1,,Wood Frame,"Carpet, Laminate Flooring",917,Dave Hopkins
C4258179,Mountainview_Okotoks, 25  MIST MOUNTAIN RI,A,"$478,000 ",,191.194,2 Storey,10,3,3,1,Yes,2017,East,11.04,,Unfinished,2,Double Garage Attached,Seller,Neg,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring, Linoleum","2,058",Stacy Laskowski
C4259185,Martindale, 1106  MARTINDALE BV NE,A,"$439,900 ",,93.832,Bi-Level,5,5,4,0,Yes,2000,North,15,,"Fully Finished, Suite",2,Double Garage Detached,Vacant,Negotiable,1,,Wood Frame,"Carpet, Hardwood, Laminate Flooring","1,010",Bhawandeep Samra
C4259008,Auburn Bay, 125  Auburn Glen MR SE,A,"$539,900 ",,195.096,2 Storey,9,4,3,1,No,2009,West,9.89,1,Fully Finished,2,"Double Garage Attached, Over Sized",Vacant,Negotiable,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring, Linoleum","2,100",Andrew Haggith
C4259096,None, 5503  Shannon DR,A,"$499,900 ",,131.829,Bungalow,6,5,3,0,Yes,1997,West,22.47,1,Fully Finished,2,"Double Garage Attached, Insulated, Front Drive Access, Heated, Over Sized, RV Parking",Seller,negotiable,3,,Wood Frame,"Carpet, Hardwood, Linoleum","1,419",AJ Barkman
C4258769,Signal Hill, 84  SIENNA PARK DR SW,A,"$589,900 ",,186.456,2 Storey,10,3,2,1,Yes,2002,North,16.8,1,Unfinished,2,Double Garage Attached,Seller,negotiable,1,,Wood Frame,"Carpet, Linoleum","2,007",Robin D Spiers
C4259179,Evanston, 354  EVANSTON DR NW,A,"$615,000 ",,219.623,2 Storey,8,4,3,1,Yes,2011,South,14.11,1,Fully Finished,3,Triple Garage Detached,Vacant,neg,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,364",Justin Havre
C4259201,Castleridge, 180  CASTLEBROOK DR NE,A,"$349,900 ",,96.619,5 Lvl Split,5,4,2,1,Yes,1981,West,12.8,,"Fully Finished, Suite",2,Double Garage Detached,Seller,NEG,2,,Wood Frame,"Carpet, Laminate Flooring","1,040",Naseem Ahmad
C4258354,Sherwood, 50  SHERWOOD HL NW,A,"$564,900 ",,209.403,2 Storey,11,5,3,1,Yes,2005,South,10.34,,Fully Finished,2,Double Garage Attached,Undisclosed,Negotiable,3,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,254",Aman Gill
C4259034,Grotto Mountain Village/Glacier, 3  Grotto WY,A,"$534,900 ",,99.964,Sng Wide Mob Hme,7,3,2,0,Yes,1993,West,0,,,,"Single Carport, Front Drive Access, RV Parking, Tandem",Vacant,Immediate,4,,Modular,"Hardwood, Linoleum","1,076",Robb Aishford
C4259170,Evanston, 310  EVANSGLEN DR NW,A,"$568,600 ",,204.294,2 Storey,9,3,2,1,Yes,2019,Northeast,12.08,1,Unfinished,2,Double Garage Attached,New; Never Occupied,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Vinyl Plank","2,199",Shawn Getty
C4259190,Richmond, 2415  30 AV SW,A,"$999,900 ",,142.049,Bungalow,5,4,3,0,Yes,1953,North,15.28,2,Fully Finished,2,"Double Garage Detached, Heated, Over Sized",Vacant,negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,529",Kimberly Vink
C4259001,Lakes of Muirfield, 596  Muirfield CR,A,"$525,000 ",,169.269,Bungalow,8,2,2,0,Yes,2018,North,15.26,,,2,Double Garage Attached,Owner,Negotiable,2,The Lakes of Muirfield,Wood Frame,See Remarks,"1,822",Heather O'Neill
C4259188,Silvertip, 24  blue grouse RG,A,"$1,649,000 ",,296.825,2 Storey,8,6,3,1,Yes,1997,Southwest,,2,Fully Finished,1,"Single Garage Attached, Insulated",Seller,negotiable,2,Z-name Not Listed,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Slate","3,195",Ingrid Couillard
C4259175,Elbow Valley, 343  WHISPERING WATER BN,A,"$1,350,000 ",,242.941,Bungalow,7,3,3,1,Yes,2005,East,,3,Fully Finished,3,"Triple Garage Attached, Insulated, Heated, Over Sized",Seller,negotiable,2,Elbow Valley Residents Club,Wood Frame,"Carpet, Ceramic Tile, Cork Flooring, Hardwood, Marble","2,615",Kimberly Vink
C4259184,Abbeydale, 8  ABERFOYLE CL NE,A,"$399,000 ",,93.46,Bungalow,6,5,2,0,No,1981,East,32,,Fully Finished,2,"Double Garage Attached, Double Garage Detached",Vacant,Immediate,1,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,006",Zia Tajik
C4259172,Douglasdale/Glen, 328  DOUGLASBANK DR SE,A,"$499,900 ",,196.862,2 Storey,9,4,3,1,Yes,1990,Southeast,16.68,1,Fully Finished,2,"Double Garage Attached, Over Sized",Seller,negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Cork Flooring, Hardwood, Linoleum","2,119",Julian Aiuto
C4259182,Riverview, 116  Riverveiw CI,A,"$800,000 ",,224.268,2 Storey,9,6,3,1,Yes,1992,North,16.65,1,Fully Finished,2,Double Garage Attached,Vacant,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,414",Anthony Lewis
C4259180,Martindale, 287  MARTINDALE BV NE,A,"$339,900 ",,117.801,2 Storey,6,3,2,1,No,1989,Northwest,9.58,,"Fully Finished, Suite",2,Double Garage Detached,Seller,NEGO,2,,Wood Frame,"Laminate Flooring, Vinyl Plank","1,268",Puma S Banwait
C4258637,Huntington Hills, 623  HUNTERFIELD PL NW,A,"$408,000 ",,109.161,Bi-Level,7,5,2,1,Yes,1968,North,15.84,,Partly Finished,,"Parking Pad Gravel, No Assigned Parking",Seller,negotiable,3,,Wood Frame,"Carpet Over Hardwood, Linoleum","1,175",Carlin Lutzer
C4258085,Fairways, 2268  FAIRWAYS CI NW,A,"$414,900 ",,167.504,2 Storey,8,4,3,1,Yes,2004,North,14.04,1,Fully Finished,2,Double Garage Attached,Vacant,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile","1,803",Dione J Irwin
C4259174,Downtown_Strathmore, 112  Lakeside VW,A,"$480,000 ",,129.786,Bungalow,6,5,3,1,Yes,2006,West,15.25,1,"Fully Finished, Suite",2,"Double Garage Attached, RV Parking",Vacant,Immediate,2,Z-name Not Listed,Wood Frame,Hardwood,"1,397",Debbie Mitzner
C4258999,Lakes of Muirfield, 580  Muirfield CR,A,"$409,000 ",,183.483,2 Storey,8,3,2,1,Yes,2014,North,,1,Unfinished,3,Triple Garage Attached,Owner,Negotiable,3,The Lakes of Muirfield,Wood Frame,"Carpet, Hardwood","1,975",Heather O'Neill
C4259169,Auburn Bay, 375  AUBURN CREST WY SE,A,"$439,000 ",,146.601,2 Storey,8,3,2,1,Yes,2013,East,7.7,,Unfinished,2,Double Garage Detached,Tenant Rights,Negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,578",Ryan Phelan
C4259083,None, 21  WOLF DR,A,"$490,000 ",,236.531,Bungalow,12,4,2,0,Yes,1978,Southeast,0,,Unfinished,2,Double Garage Attached,Seller,/Neg,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","2,546",Daniyal Nasiri
C4258966,Saddle Ridge, 63  SADDLECREST CL NE,A,"$289,900 ",,81.755,Bungalow,5,2,1,0,No,2003,North,7.6,,Unfinished,,2 Outdoor Stalls,Vacant,negotiable,3,,Wood Frame,"Ceramic Tile, Hardwood",880,Zawar F Cheema
