MLS,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Realtor
C4255678,Upper Mount Royal, 1213  PREMIER WY SW,A,"$3,195,000 ",,335.101,2 Storey,8,4,4,1,Yes,2015,South,15.23,2,Fully Finished,4,"Double Garage Attached, Double Garage Detached",Vacant,Negotiable,27,,Wood Frame,"Ceramic Tile, Hardwood","3,607",Joel Semmens
C4253761,Upper Mount Royal, 1401  PROSPECT AV SW,A,"$3,195,000 ",,403.385,2 Storey,9,4,5,1,Yes,1982,North,21.32,3,Fully Finished,2,Double Garage Detached,Owner,Negotiable,3,,Wood Frame,"Carpet, Ceramic Tile","4,342",John Hripko
C4245058,Elbow Park, 816  RIVERDALE AV SW,S,"$3,250,000 ","$3,150,000 ",375.142,2 Storey,12,4,5,1,Yes,2000,South,18.28,,Fully Finished,2,"Double Garage Attached, Front Drive Access",Seller,Negotiable,8,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Stone","4,038",Donna Rooney
C4247995,Hamptons, 48  HAMPTONS VW NW,A,"$3,098,888 ",,367.71,Bungalow,9,4,4,2,Yes,2010,West,,3,Fully Finished,5,Quad or More Attached,Undisclosed,immed,54,Z-name Not Listed,Wood Frame,"Hardwood, Stone","3,958",Edward Kwan
C4245060,Willow Park, 516  WILDERNESS DR SE,A,"$3,088,000 ",,360.649,Bungalow,7,3,3,2,Yes,2019,Southwest,27.4,1,Fully Finished,4,Quad or More Attached,Seller,NEG,61,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,882",Mark D Evernden
C4241505,Upper Mount Royal, 2202  13 ST SW,A,"$2,999,000 ",,453.645,2 Storey,12,5,5,1,Yes,2003,West,22.9,4,Fully Finished,2,"Double Garage Attached, Front Drive Access, Over Sized",Seller,NEG,89,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,883",Tomasz Samborski
C4246054,Britannia, 708  CRESCENT BV SW,A,"$2,995,000 ",,417.599,2 & Half St,11,5,6,1,Yes,2018,South,21.32,1,Fully Finished,3,Triple Garage Attached,Vacant,negotiable,20,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,495",John A McNeill
C4244610,Elboya, 523  RIVERDALE AV SW,A,"$2,980,000 ",,321.723,2 Storey,10,4,4,2,Yes,2008,North,15.23,4,Fully Finished,3,Triple Garage Attached,Seller,Negotiable,67,,Wood Frame,"Carpet, Hardwood","3,463",Stephanie Tate
C4255454,Hounsfield Heights/Briar Hill, 1916  10 AV NW,A,"$2,950,000 ",,376.35,3 Storey,11,4,6,1,Yes,2015,South,15.2,3,Fully Finished,5,"Double Garage Detached, Triple Garage Attached, Insulated, Heated, Over Sized, Parking Pad Cement or Paved, RV Parking, Shop",Owner,Negotiable,28,,Wood Frame,Hardwood,"4,051",Trevor Ramage
C4243979,Britannia, 4312  ANNE AV SW,A,"$2,875,000 ",,392.701,2 Storey,11,4,5,1,Yes,2005,Northeast,21.3,5,Fully Finished,2,"Double Garage Attached, Insulated, Heated",Seller,Negotiable,49,,Wood Frame,"Ceramic Tile, Hardwood, Wall to Wall Carpet","4,227",John F McMahon
C4257603,Britannia, 708  MADISON AV SW,A,"$2,799,000 ",,363.437,2 Storey,9,5,5,1,Yes,2014,South,21.3,2,Fully Finished,2,Double Garage Attached,Vacant,Negotiable,5,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,912",Corinne M Poffenroth
C4245751,Aspen Woods, 3  Aspen Ridge CL SW,A,"$2,795,000 ",,518.399,2 Storey,11,7,5,2,Yes,2006,North,34.4,2,Fully Finished,3,Triple Garage Attached,Seller,,47,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","5,580",Vincent Klinot
C4245299,Britannia, 4324  CORONATION DR SW,A,"$2,795,000 ",,331.664,2 Storey,9,5,4,1,Yes,2008,North,21.32,3,Fully Finished,2,"Double Garage Attached, Front Drive Access",Seller,NEGOTIABLE,62,,Wood Frame,"Ceramic Tile, Hardwood, Non-Ceramic Tile","3,570",Matt Williams
C4248521,Rosedale, 541  ALEXANDER CR NW,A,"$2,780,000 ",,351.08,2 Storey,11,5,5,1,Yes,2017,North,16.02,4,Fully Finished,3,"Triple Garage Detached, Insulated, Heated, Over Sized",Seller,Negotiable,53,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,779",Curtis Atkinson
C4248324,Elbow Park, 703  32 AV SW,A,"$2,775,000 ",,347.55,2 Storey,10,5,3,1,Yes,1927,North,37.25,5,Fully Finished,3,"Triple Garage Detached, Heated, Over Sized",Seller,Negotiable,52,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,741",Sam Corea
C4256653,Springbank Hill, 12  SPRING VALLEY ME SW,A,"$2,690,000 ",,443.798,2 Storey,10,5,4,1,Yes,2012,West,26.4,1,Fully Finished,3,Triple Garage Attached,Seller,TBD,19,,Wood Frame,"Carpet, Hardwood, Stone","4,777",Ron Carriere
C4240857,Elboya, 4211  5 ST SW,A,"$2,688,000 ",,316.521,2 Storey,12,4,5,1,Yes,2014,East,15.2,2,Fully Finished,2,Double Garage Attached,Owner,Negotiable,95,,Wood Frame,"Carpet, Hardwood","3,407",Sandra MacDonell
C4241680,Lake Bonavista, 12236  LAKE ERIE WY SE,A,"$2,595,000 ",,363.715,2 Storey,11,4,3,1,Yes,1971,Northwest,24.37,1,Fully Finished,3,"Triple Garage Attached, Front Drive Access",Owner,Negotiable,87,,Wood Frame,"Carpet, Hardwood, Linoleum","3,915",Jamie Newton
C4255947,Upper Mount Royal, 831  PROSPECT AV SW,A,"$2,588,000 ",,446.399,Bungalow,8,3,3,1,Yes,1984,North,30.48,3,Fully Finished,3,"Triple Garage Attached, Insulated",Seller,Negotiable,15,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,805",Denise Newman
C4254794,Upper Mount Royal, 2902  MONTCALM CR SW,A,"$2,500,000 ",,322.838,2 Storey,11,3,3,1,Yes,1930,West,20.93,,Fully Finished,3,"Triple Garage Detached, Heated",Seller,Negotiable,31,,Wood Frame,"Carpet, Hardwood, Stone","3,475",Dennis J Plintz
C4248644,Hounsfield Heights/Briar Hill, 2215  12 AV NW,A,"$2,399,900 ",,254.368,5 Lvl Split,9,5,2,2,Yes,1964,North,30.63,,Fully Finished,2,"Double Garage Attached, Insulated, Front Drive Access, Over Sized",Seller,Negotiable,52,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,738",Tanya Eklund
C4258230,Upper Mount Royal, 1131  DORCHESTER AV SW,A,"$2,399,000 ",,335.194,2 Storey,10,4,4,1,Yes,2008,North,15.21,4,Fully Finished,4,"Quad or More Attached, Front Drive Access, Heated",Tenant,negotiable,4,,Wood Frame,Hardwood,"3,608",Mary Lou McCormick
C4256228,Rosemont, 67  ROSERY DR NW,S,"$2,499,900 ","$2,350,000 ",396.046,2 Storey,8,4,4,1,Yes,2012,North,15.2,2,Fully Finished,2,"Double Garage Attached, Insulated, Front Drive Access, Heated",Owner,Negotiable,0,,Wood Frame,Hardwood,"4,263",Trevor Ramage
C4257141,Lake Bonavista, 1071  LAKE PLACID DR SE,A,"$2,297,000 ",,277.316,2 Sty Split,10,5,3,1,Yes,1976,West,30.8,4,Fully Finished,3,Triple Garage Attached,Seller,Negotiable,17,,Wood Frame,"Carpet, Ceramic Tile, Linoleum, Marble","2,985",Heather Waddell
C4258177,Bel-Aire, 1103  BEVERLEY BV SW,A,"$2,275,000 ",,350.895,4 Lvl Split,7,4,3,1,Yes,2012,North,16.6,2,Fully Finished,2,"Double Garage Attached, Over Sized, RV Parking",Seller,negotiable,9,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,777",Craig Lamb
C4243316,Hounsfield Heights/Briar Hill, 1008  22 ST NW,A,"$2,275,000 ",,339.096,2 Storey,10,4,3,1,Yes,2012,North,22.86,,Fully Finished,2,"Double Garage Attached, Insulated, Heated, Over Sized, Shop",Owner,Negotiable,79,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,650",Lucas Ramage
C4248894,Auburn Bay, 62  AUBURN SHORES CA SE,A,"$2,250,000 ",,333.708,2 Storey,9,5,4,1,Yes,2017,East,17.07,1,Fully Finished,3,"Triple Garage Attached, Insulated, Over Sized",Seller,Negotiable,50,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,592",Ryan MacDonald
C4254573,Elbow Park, 4109  8 ST SW,A,"$2,200,000 ",,332.5,2 Storey,10,4,2,2,Yes,1996,East,19.96,3,Partly Finished,3,"Triple Garage Attached, Insulated, Front Drive Access, Heated",Seller,Negotiable,4,,Wood Frame,"Carpet, Hardwood","3,579",Donna Rooney
C4240703,Springbank Hill, 40  SPRING WILLOW TC SW,A,"$2,200,000 ",,386.755,2 Storey,10,4,4,1,Yes,2009,West,18.3,4,Fully Finished,4,"Quad or More Attached, Insulated, Heated, Over Sized, Tandem",Seller,Negotiable,95,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,163",Lori Loewen
C4254313,Parkdale, 736  33A ST NW,A,"$2,199,900 ",,320.422,2 Storey,12,5,5,1,Yes,2019,Northwest,15.2,2,Fully Finished,3,Triple Garage Detached,New; Never Occupied,Negotiable,35,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,449",Tanya Eklund
C4256335,Springbank Hill, 18  ELVEDEN ME SW,A,"$2,198,000 ",,464.98,2 Storey,14,7,5,1,Yes,2013,Northwest,"1,259.00",3,Fully Finished,3,Triple Garage Attached,Vacant,NEG,11,,Wood Frame,"Hardwood, Non-Ceramic Tile","5,005",Mark D Evernden
C4240770,Springbank Hill, 9  SPRING VALLEY TC SW,A,"$2,198,000 ",,268.49,Bungalow,7,3,3,2,Yes,2005,Northeast,20.4,2,Fully Finished,3,Triple Garage Attached,Seller,NEG,95,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,890",Mark D Evernden
C4258311,Springbank Hill, 234  FORTRESS BA SW,A,"$2,195,000 ",,437.573,2 Storey,9,5,4,1,Yes,2018,Northwest,6.94,2,Fully Finished,3,"Triple Garage Attached, Front Drive Access, Heated, Tandem",Vacant,negotiable,2,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,710",Ross Pavl
C4254459,Elbow Park, 1235  LANSDOWNE AV SW,A,"$2,195,000 ",,300.17,2 & Half St,11,4,4,1,Yes,1959,North,21.34,,Fully Finished,2,"Double Garage Attached, Heated, Tandem",Seller,Negotiable,34,,Wood Frame,"Carpet, Non-Ceramic Tile","3,231",Aly Remtulla
C4243207,Springbank Hill, 17  Spring Valley VW SW,A,"$2,195,000 ",,425.403,2 Storey,12,5,4,1,Yes,2006,North,34.77,4,Fully Finished,4,"Quad or More Attached, Insulated, Over Sized",Seller,Negotiable,80,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,579",Sam Corea
C4242657,Aspen Woods, 8  ASPEN RIDGE MR SW,A,"$2,190,000 ",,341.419,2 Storey,11,7,4,1,Yes,2013,West,18.3,3,Fully Finished,3,"Triple Garage Attached, Insulated, Heated, Over Sized",Seller,Negotiable,82,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,675",Ross Pavl
C4240850,Elbow Park, 3424  7 ST SW,S,"$2,295,000 ","$2,178,500 ",330.363,2 Storey,11,6,5,1,Yes,2008,West,15.2,1,Fully Finished,2,"Double Garage Detached, Heated, Over Sized",Vacant,Negotiable,21,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,556",Gordon W Ross
C4244176,Springbank Hill, 159  POSTHILL DR SW,A,"$2,150,000 ",,418.807,2 Storey,11,6,4,2,Yes,2015,North,36.07,4,Fully Finished,3,Triple Garage Detached,Owner,NEGOTIABLE,73,Z-name Not Listed,Wood Frame,"Carpet, Hardwood, Marble","4,508",Phil H Lepage
C4248689,Altadore, 4524  17 ST SW,A,"$2,149,900 ",,296.639,2 Storey,8,5,3,1,Yes,2019,West,15.2,,Fully Finished,3,Triple Garage Detached,New; Never Occupied,NEGOTIABLE,52,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,193",Michael Ferianec
C4242047,Springbank Hill, 42  Elmont DR SW,A,"$2,100,000 ",,382.575,2 Storey,12,7,4,1,Yes,1968,Southeast,78.64,3,Fully Finished,3,Triple Garage Attached,Seller,Negotiable,87,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,118",Anthony Lewis
C4256445,Mahogany, 238  MARINE DR SE,A,"$2,095,000 ",,387.22,2 Storey,10,4,3,1,Yes,2016,West,16.46,1,Fully Finished,3,Triple Garage Attached,Undisclosed,immediate,21,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Laminate Flooring","4,168",Justin Havre
C4256470,Altadore, 4504  19 ST SW,A,"$2,069,000 ",,312.433,2 Storey,9,4,3,1,Yes,2014,West,15.77,,Fully Finished,3,Triple Garage Detached,Tenant,Negotiable,20,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Marble, Stone","3,363",Spencer Stupka
C4258101,Aspen Woods, 215  ASPEN RIDGE PL SW,A,"$2,050,000 ",,416.391,2 Storey,12,6,4,3,Yes,2007,East,20.8,,Fully Finished,3,"Triple Garage Attached, Insulated, Heated, Over Sized",Seller,negotiable,10,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,482",Rachelle Starnes
C4249203,Elboya, 426  CLIFFE AV SW,A,"$2,050,000 ",,285.584,2 Storey,8,3,3,1,Yes,1949,South,31.96,,Fully Finished,3,"Triple Garage Detached, Over Sized",Seller,NEG,45,,Wood Frame,"Carpet, Hardwood","3,074",Mathew Said Morley
C4248705,Hounsfield Heights/Briar Hill, 1411  22A ST NW,A,"$1,999,900 ",,288.185,2 & Half St,9,4,3,1,Yes,2013,East,14.6,2,Fully Finished,2,"Double Garage Detached, Insulated, Over Sized",Owner,Negotiable,48,,Wood Frame,"Hardwood, Non-Ceramic Tile","3,102",Trevor Ramage
C4257647,West Hillhurst, 2617  7 AV NW,A,"$1,999,000 ",,339.096,2 Storey,10,6,4,1,Yes,2017,North,15.2,3,Fully Finished,3,"Triple Garage Detached, Parking Pad Cement or Paved, RV Parking",New; Never Occupied,Negotiable,7,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,650",Derrick Penn
C4247566,Elbow Park, 3707  5 ST SW,A,"$1,999,000 ",,236.531,2 Storey,10,4,3,1,Yes,2010,East,15.23,1,Fully Finished,3,"Double Garage Attached, Triple Garage Attached, Insulated, Front Drive Access, Heated, Over Sized",Seller,Negotiable,46,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","2,546",Karen Fawcett
C4241791,McKenzie Lake, 58  MCKENZIE LAKE IS SE,A,"$1,999,000 ",,413.976,2 Storey,13,5,4,1,Yes,2003,East,18.3,3,Fully Finished,4,"Triple Garage Attached, Front Drive Access, Over Sized",Owner,Or Later,88,Z-name Not Listed,Wood Frame,"Ceramic Tile, Hardwood, Wall to Wall Carpet","4,456",Troy L Weber
C4241006,South Calgary, 1920  31 AV SW,A,"$1,999,000 ",,300.448,2 Storey,9,4,4,1,Yes,2018,South,12.2,1,Fully Finished,3,"Triple Garage Detached, Insulated",Seller,Negotiable,84,,Wood Frame,"Hardwood, Non-Ceramic Tile","3,234",Denise Newman
C4258927,Upper Mount Royal, 1111  Premier WY SW,A,"$1,997,500 ",,296.454,2 Storey,10,4,3,1,Yes,2014,North,15.23,1,Fully Finished,3,"Triple Garage Attached, Heated, Tandem",Seller,Negotiable,3,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,191",Sam Olschewski
C4244754,Upper Mount Royal, 1326  Montreal AV SW,A,"$1,995,000 ",,270.719,1 & Half St,11,6,3,1,Yes,1978,South,15.22,2,Fully Finished,2,"Double Garage Attached, Over Sized",Owner,Negotiable,67,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Non-Ceramic Tile","2,914",Scott Brayshaw
C4248674,Ramsay, 1034  BELLEVUE AV SE,A,"$1,989,000 ",,245.078,3 Storey,8,3,3,2,Yes,2014,West,9.1,2,Fully Finished,2,"Double Garage Attached, Insulated, Heated, Rear Drive Access",Vacant,Immediate,51,,Wood Frame,Hardwood,"2,638",Leslie Paul Kiss
C4256878,Upper Mount Royal, 2707  WOLFE ST SW,A,"$1,975,000 ",,428.562,2 & Half St,14,4,3,2,Yes,1912,Northeast,18.3,4,Unfinished,3,"Triple Garage Detached, Tandem",Seller,Negotiable,18,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","4,613",Karen J Hagg
C4255538,Cougar Ridge, 84  COULEE WY SW,A,"$1,975,000 ",,363.808,2 Storey,8,6,4,2,Yes,2017,South,15.04,3,Fully Finished,6,Triple Garage Attached,New; Never Occupied,Immediate,27,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,916",Jeffrey LeBlanc
C4249491,Springbank Hill, 35  ELMONT DR SW,A,"$1,975,000 ",,474.92,2 Storey,15,4,3,2,Yes,2009,West,25,4,Unfinished,3,Triple Garage Attached,Tenant Rights,NEGOTIABLE,34,,Wood Frame,"Carpet, Hardwood, Stone","5,112",Robert Vanovermeire
C4241219,Rosedale, 1137  9 ST NW,S,"$1,995,000 ","$1,950,000 ",179.489,Bungalow,6,5,4,0,Yes,1951,Northeast,16.93,,Fully Finished,3,"Triple Garage Detached, Insulated, Heated, Over Sized",Seller,Negotiable,13,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,932",Curtis Atkinson
C4248963,Aspen Woods, 214  ASPEN RIDGE PL SW,A,"$1,949,900 ",,429.119,2 Storey,12,6,6,2,Yes,2008,West,18.76,,Fully Finished,3,"Triple Garage Attached, Insulated, Front Drive Access, Heated, Over Sized",Seller,NEGOTIABLE,48,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","4,619",Michael Ferianec
C4256423,Brentwood, 3332  BARRETT PL NW,A,"$1,949,000 ",,363.994,2 Storey,10,5,5,1,Yes,2017,West,16.77,,Fully Finished,2,"Double Garage Attached, Front Drive Access, Heated, Over Sized",Seller,Two months,20,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,918",Jaspal Singh Sekhon
C4258909,West Hillhurst, 2311  9 AV NW,A,"$1,899,900 ",,297.29,2 Storey,9,4,4,1,No,2019,North,15.24,3,Fully Finished,2,Double Garage Attached,New; Never Occupied,Negotiable,3,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,200",Jason Page
C4242670,Mount Pleasant, 735  24 AV NW,A,"$1,899,900 ",,331.013,2 Storey,8,5,6,2,Yes,2010,North,15.23,,Fully Finished,4,"Quad or More Detached, 220 Volt Wiring, Heated, Shop",Seller,Negotiable,82,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Linoleum","3,563",Lucas Ramage
C4252821,Meadowlark Park, 96  Malibou RD SW,A,"$1,899,000 ",,350.523,2 Storey,12,4,5,1,Yes,2017,North,15.88,2,Fully Finished,3,"Triple Garage Attached, Insulated, Front Drive Access, Tandem",Seller,negotiable,45,,Wood Frame,"Ceramic Tile, Hardwood, See Remarks","3,773",Suman Brar
C4247989,Upper Mount Royal, 824  Durham AV SW,A,"$1,899,000 ",,329.062,3 Storey,8,3,4,1,Yes,2014,South,13.71,3,Fully Finished,2,Double Garage Attached,Seller,Negotiable,56,,Wood Frame,"Cork Flooring, Hardwood, Non-Ceramic Tile","3,542",Anthony Lewis
C4244753,South Calgary, 1911  32 AV SW,A,"$1,899,000 ",,286.42,2 Storey,9,4,4,2,Yes,2011,North,12.18,3,Fully Finished,3,"Triple Garage Detached, Heated, Over Sized, Rear Drive Access",Seller,Negotiable,66,,Wood Frame,"Ceramic Tile, Hardwood, See Remarks, Slate","3,083",Barry Klatt
C4242659,Hillhurst, 231  11 ST NW,A,"$1,898,800 ",,314.012,2 Storey,10,7,4,1,Yes,2005,East,18.27,3,"Fully Finished, Suite",2,Double Garage Detached,Seller,Negotiable,82,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,380",John Malick
C4257231,Springbank Hill, 18  SPIRIT RIDGE LN SW,A,"$1,895,000 ",,364.551,2 Storey,7,4,3,2,Yes,2012,East,,,Fully Finished,3,"Triple Garage Attached, Heated, Over Sized",Seller,negotiable,8,Z-name Not Listed,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,924",Jacqueline Thorogood
C4253090,Upper Mount Royal, 1311  FRONTENAC AV SW,A,"$1,895,000 ",,340.954,2 Storey,10,4,4,0,Yes,1928,North,21.32,,Fully Finished,2,Double Garage Detached,Seller,negotiable,44,,Wood Frame,Hardwood,"3,670",Mary Lou McCormick
C4241608,Chaparral, 347  CHAPALA PT SE,A,"$1,895,000 ",,325.532,2 Storey,10,5,4,1,Yes,2006,Northwest,8.2,,Fully Finished,3,Triple Garage Attached,Owner,,89,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","3,504",Glenn Marty
C4244451,Aspen Woods, 46  ASPEN RIDGE WY SW,A,"$1,880,000 ",,362.415,2 Storey,11,5,4,2,Yes,2006,South,18.3,2,Fully Finished,3,"Triple Garage Attached, Insulated",Seller,negotiable,72,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","3,901",Ross Pavl
C4247838,Upper Mount Royal, 1125  VALOIS AV SW,S,"$1,995,000 ","$1,850,000 ",276.665,Bungalow,9,5,4,0,Yes,1953,North,21.79,3,Fully Finished,2,Double Garage Attached,Owner,Negotiable,13,,Wood Frame,"Carpet, Ceramic Tile, Linoleum","2,978",John Hripko
C4248060,Crescent Heights, 229  15 AV NW,A,"$1,849,000 ",,528.432,2 Storey,13,6,5,1,Yes,2014,North,15.27,1,Fully Finished,4,"Single Garage Attached, Triple Garage Attached, Insulated, Front Drive Access, Heated, Over Sized",Vacant,Negotiable,52,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, See Remarks","5,688",Curtis Atkinson
C4255547,Hillhurst, 1624  BROADVIEW RD NW,A,"$1,839,000 ",,286.048,2 Storey,9,5,3,1,Yes,2012,South,11.4,,Fully Finished,2,Double Garage Detached,Owner,NEG,25,,Wood Frame,"Carpet, Hardwood, Marble","3,079",Ben Battistessa
C4254583,Parkdale, 715  33 ST NW,A,"$1,809,000 ",,308.624,2 Storey,12,5,4,1,Yes,2011,East,15.23,2,Fully Finished,3,Triple Garage Detached,Owner,Negotiable,34,,Wood Frame,"Carpet, Ceramic Tile, Cork Flooring, Hardwood","3,322",Gio Pena
